CMR0001;Paddington;Paddington ha crecido en las profundidades de la selva peruana junto a su tía Lucy quien, debido a un encuentro casual con un explorador inglés, ha inculcado en su sobrino el sueño de vivir una vida emocionante en Londres. Después de que un terremoto destruya su hogar, la tía Lucy decide ocultar a su joven sobrino en un barco rumbo a Inglaterra en busca de una vida mejor. Cuando el pequeño llega solo a la estación de Paddington, se da cuenta de que la vida de la ciudad no tiene nada que ver con lo que se había imaginado, hasta que conoce a los Brown, una bondadosa familia que se lo encuentra con una etiqueta alrededor del cuello en la que se puede leer: 'Por favor, cuidad de este oso. Gracias'. Los Brown le acogen en su casa mientras Paddington busca al famoso explorador que dejó marcada a su tía Lucy muchos años atrás. Sin embargo, poco después, una siniestra y atractiva taxidermista se fija en él, lo que supone una amenaza para su hogar y para su propia vida.;Comedia;95;Todos los públicos;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;17:30%19:40;Sala 1;N
CMR0002;El séptimo hijo;El Maestro Gregory es un caballero que siglos atrás capturó a la maléfica y poderosa bruja Madre Malkin. Pero ahora, la bruja ha conseguido escapar y clama venganza. Tras convocar a todos los seguidores que ha conseguido captar en cada una de sus reencarnaciones, Malkin se preparada para dar rienda suelta a su temible ira. Y solamente hay una cosa que se interpone en su camino: el Maestro Gregory. En una reunión mortal, Gregory se enfrenta al diablo que siempre temió que algún día volvería. Y ahora, tiene solamente hasta la próxima luna llena para hacer lo que normalmente tardaría años: enseñar a su joven aprendiz, Tom Ward, a luchar contra la magia negra más poderosa jamás vista. La única esperanza de la humanidad reside en el séptimo hijo de un séptimo hijo. ”El séptimo hijo” se basa en “El aprendiz del espectro”, la primera entrega de una saga literaria escrita por Joseph Delaney.;Fantasía;105;+12;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;18:00%20:10;Sala 2;N
CMR0003;El séptimo hijo;El Maestro Gregory es un caballero que siglos atrás capturó a la maléfica y poderosa bruja Madre Malkin. Pero ahora, la bruja ha conseguido escapar y clama venganza. Tras convocar a todos los seguidores que ha conseguido captar en cada una de sus reencarnaciones, Malkin se preparada para dar rienda suelta a su temible ira. Y solamente hay una cosa que se interpone en su camino: el Maestro Gregory. En una reunión mortal, Gregory se enfrenta al diablo que siempre temió que algún día volvería. Y ahora, tiene solamente hasta la próxima luna llena para hacer lo que normalmente tardaría años: enseñar a su joven aprendiz, Tom Ward, a luchar contra la magia negra más poderosa jamás vista. La única esperanza de la humanidad reside en el séptimo hijo de un séptimo hijo. ”El séptimo hijo” se basa en “El aprendiz del espectro”, la primera entrega de una saga literaria escrita por Joseph Delaney.;Fantasía;105;+12;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;22:20;Sala 3;S
CMR0004;The Imitation Game;Durante el invierno de 1952, las autoridades británicas entraron en el hogar del matemático, analista y héroe de guerra Alan Turing (Benedict Cumberbacht), con la intención de investigar la denuncia de un robo.Al final acabaron arrestando a Turing acusándole de “indecencia grave”, un cargo que le supondría una devastadora condena por una ofensa criminal, ser homosexual. Los oficiales no tenían ni idea de que en realidad estaban incriminando al pionero de la informática actual.;Drama;110;+7;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;17:30%19:50%22:10;Sala 4;N
CMR0005;Cómo acabar sin tu jefe 2;Cebados por la ambición, Nick (Bateman), Dale (Day) y Kurt (Sudeikis) deciden ser sus propios jefes lanzando su propio negocio en “Como acabar sin tu jefe 2”. Pero un inversor muy listillo echa a perder sus planes. Vencidos y desesperados, y sin recursos legales, los tres aspirantes a empresarios traman un plan insensato para secuestrar al hijo adulto del inversor y pedir un rescate por él para recuperar el control de su empresa.;Comedia;108;+12;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;17:40%19:55%22:10;Sala 5;N
CMR0006;El Jugador (The Gambler);Un profesor de inglés adicto al juego le debe a la mafia 40.000 dólares. Para ayudarle a salir a flote, su madre decide darle algún dinero que él trata de multiplicar rápidamente en Las Vegas, pero la suerte no le acompaña, por lo que su futuro estará en manos de la mafia.;Drama;110;+16;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;17:35%19:55%22:15;Sala 6;N
CMR0007;El Club de los Incomprendidos;Valeria (Charlotte Vega), una joven que se acaba de trasladar a Madrid, tras la separación de sus padres. En su nuevo instituto, Valeria se ve obligada a asistir a unas reuniones con el orientador a las que también acuden otros compañeros de clase. Lo que en un principio parecería un mal comienzo para la nueva existencia de Valeria, se acaba convirtiendo en el inicio de una increíble experiencia vital. Nuevas amistades, una ciudad llena de posibilitades, el primer amor... Intensas experiencias que cambiarán para siempre las vidas de este nuevo grupo de amigos.;Romance;135;+16;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;19:00;Sala 7;N
CMR0008;Noche en el museo: El secreto del Faraón;En esta tercera entrega de 'Noche en el museo', el guarda del museo Larry Daley, interpretado de nuevo por Ben Stiller, emprenderá una aventura épica para evitar que la magia desaparezca para siempre.;Comedia;105;+16;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;17:30%19:35;Sala 8;N
CMR1001;Serafina y la Piedra Filosofal;Serafina es una (no tan) inocente anciana que un día recibe la visita de un hombre llamado Fagrid que le comunica que es en realidad una bruja. Para entrenarse (más vale tarde que nunca), Serafina acude al Castillo de Huertwars, donde comienza sus clases. No obstante, no todo resultará tan fácil, pues el Profesor Squirrel resulta ser un esbirro del malvado mago Lord Vanderwaals, que, envidioso de Serafina, decide intentar acabar con ella.;Fantasía;135;+16;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;16:30%18:35;Sala 12;N
CMR1002;Serafina y la Cámara Secreta;En esta nueva aventura, Serafina le arrebata al peligroso Lacius Malfoy un diario. Creyendo que se trata de un artefacto mágico malvado, Serafina acude al Profesor Scape en busca de consejo. No obstante, el diario resulta ser inofensivo, salvo por el contenido, que deja en evidencia a Lacius, por lo que este intenta por todos los medios recuperarlo, llegando a abrir la Cámara Secreta y liberando al temible Monstruo de Slaytherim.;Fantasía;135;+16;9/1/2015%10/1/2015%11/1/2015%12/1/2015%13/1/2015%14/1/2015%15/1/2015;16:30%18:45;Sala 11;N
